index,observation.camera_intrinsic,observation.camera_extrinsic,action,observation.camera_extrinsic_occ,observation.camera_intrinsic_occ
0,"[array([168.0498,   0.    , 240.    ], dtype=float32)
 array([  0.     , 192.79999, 135.     ], dtype=float32)
 array([0., 0., 1.], dtype=float32)]","[array([1., 0., 0., 0.], dtype=float32)
 array([ 0.        ,  0.49999997, -0.86602545, -0.        ], dtype=float32)
 array([-0.        ,  0.86602545,  0.49999997,  0.92883897], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.9994578 ,  0.01646333, -0.02851532,  0.840045  ], dtype=float32)
 array([ -0.03292666,  -0.49972886,   0.8655558 , -13.10358   ],
       dtype=float32)
 array([-0.        ,  0.86602545,  0.49999997, -2.1304939 ], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.33484375, -0.45196414,  0.82680595, -1.07011   ], dtype=float32)
 array([ 0.39420643,  0.7297887 ,  0.5585783 , -0.22284326], dtype=float32)
 array([-0.855851  ,  0.51296866, -0.06619801,  0.37980205], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([241.12979,   0.     , 336.30847], dtype=float32)
 array([  0.     , 276.8471 , 189.27817], dtype=float32)
 array([0., 0., 1.], dtype=float32)]"
1,"[array([168.0498,   0.    , 240.    ], dtype=float32)
 array([  0.     , 192.79999, 135.     ], dtype=float32)
 array([0., 0., 1.], dtype=float32)]","[array([1., 0., 0., 0.], dtype=float32)
 array([ 0.        ,  0.49999997, -0.86602545, -0.        ], dtype=float32)
 array([-0.        ,  0.86602545,  0.49999997,  0.92883897], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.9995332 ,  0.01527612, -0.02645903,  0.8414184 ], dtype=float32)
 array([ -0.03055225,  -0.49976656,   0.86562115, -13.146503  ],
       dtype=float32)
 array([-0.        ,  0.86602545,  0.49999997, -2.1304939 ], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.33712676, -0.45160303,  0.8260752 , -1.0449404 ], dtype=float32)
 array([ 0.3939295 ,  0.72927225,  0.5594475 , -0.21941727], dtype=float32)
 array([-0.8550819 ,  0.51402014, -0.06795745,  0.37149975], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([241.12979,   0.     , 336.30847], dtype=float32)
 array([  0.     , 276.8471 , 189.27817], dtype=float32)
 array([0., 0., 1.], dtype=float32)]"
2,"[array([168.0498,   0.    , 240.    ], dtype=float32)
 array([  0.     , 192.79999, 135.     ], dtype=float32)
 array([0., 0., 1.], dtype=float32)]","[array([1., 0., 0., 0.], dtype=float32)
 array([ 0.        ,  0.49999997, -0.86602545, -0.        ], dtype=float32)
 array([-0.        ,  0.86602545,  0.49999997,  0.92883897], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.99960387,  0.01407251, -0.0243743 ,  0.84268063], dtype=float32)
 array([ -0.02814502,  -0.4998019 ,   0.86568236, -13.189136  ],
       dtype=float32)
 array([-0.        ,  0.86602545,  0.49999997, -2.1304939 ], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.3394078 , -0.45123908,  0.82533973, -1.0197217 ], dtype=float32)
 array([ 0.3936501 ,  0.72875607,  0.5603161 , -0.2159795 ], dtype=float32)
 array([-0.8543079 ,  0.51507074, -0.06971519,  0.36317   ], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([241.12979,   0.     , 336.30847], dtype=float32)
 array([  0.     , 276.8471 , 189.27817], dtype=float32)
 array([0., 0., 1.], dtype=float32)]"
3,"[array([168.0498,   0.    , 240.    ], dtype=float32)
 array([  0.     , 192.79999, 135.     ], dtype=float32)
 array([0., 0., 1.], dtype=float32)]","[array([1., 0., 0., 0.], dtype=float32)
 array([ 0.        ,  0.49999997, -0.86602545, -0.        ], dtype=float32)
 array([-0.        ,  0.86602545,  0.49999997,  0.92883897], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.9996696 ,  0.01285213, -0.02226054,  0.8438316 ], dtype=float32)
 array([ -0.02570426,  -0.49983478,   0.8657393 , -13.231478  ],
       dtype=float32)
 array([-0.        ,  0.86602545,  0.49999997, -2.1304939 ], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.34168684, -0.45087227,  0.82459944, -0.9944056 ], dtype=float32)
 array([ 0.39336827,  0.72824025,  0.5611841 , -0.21251816], dtype=float32)
 array([-0.85352886,  0.5161205 , -0.07147126,  0.35478526], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([241.12979,   0.     , 336.30847], dtype=float32)
 array([  0.     , 276.8471 , 189.27817], dtype=float32)
 array([0., 0., 1.], dtype=float32)]"
4,"[array([168.0498,   0.    , 240.    ], dtype=float32)
 array([  0.     , 192.79999, 135.     ], dtype=float32)
 array([0., 0., 1.], dtype=float32)]","[array([1., 0., 0., 0.], dtype=float32)
 array([ 0.        ,  0.49999997, -0.86602545, -0.        ], dtype=float32)
 array([-0.        ,  0.86602545,  0.49999997,  0.92883897], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.99973017,  0.01161451, -0.02011693,  0.84487134], dtype=float32)
 array([ -0.02322903,  -0.49986506,   0.86579174, -13.27353   ],
       dtype=float32)
 array([-0.        ,  0.86602545,  0.49999997, -2.1304939 ], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.3439639 , -0.45050266,  0.8238545 , -0.96894294], dtype=float32)
 array([ 0.393084  ,  0.7277247 ,  0.5620514 , -0.20902148], dtype=float32)
 array([-0.8527449 ,  0.5171694 , -0.07322562,  0.3463181 ], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([241.12979,   0.     , 336.30847], dtype=float32)
 array([  0.     , 276.8471 , 189.27817], dtype=float32)
 array([0., 0., 1.], dtype=float32)]"
5,"[array([168.0498,   0.    , 240.    ], dtype=float32)
 array([  0.     , 192.79999, 135.     ], dtype=float32)
 array([0., 0., 1.], dtype=float32)]","[array([1., 0., 0., 0.], dtype=float32)
 array([ 0.        ,  0.49999997, -0.86602545, -0.        ], dtype=float32)
 array([-0.        ,  0.86602545,  0.49999997,  0.92883897], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.99978536,  0.0103593 , -0.01794284,  0.8457999 ], dtype=float32)
 array([ -0.02071861,  -0.49989265,   0.86583954, -13.315291  ],
       dtype=float32)
 array([-0.        ,  0.86602545,  0.49999997, -2.1304939 ], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.3462389 , -0.4501302 ,  0.82310474, -0.9432849 ], dtype=float32)
 array([ 0.39279726,  0.7272094 ,  0.5629181 , -0.20547764], dtype=float32)
 array([-0.85195595,  0.51821744, -0.07497827,  0.33774102], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([241.12979,   0.     , 336.30847], dtype=float32)
 array([  0.     , 276.8471 , 189.27817], dtype=float32)
 array([0., 0., 1.], dtype=float32)]"
6,"[array([168.0498,   0.    , 240.    ], dtype=float32)
 array([  0.     , 192.79999, 135.     ], dtype=float32)
 array([0., 0., 1.], dtype=float32)]","[array([1., 0., 0., 0.], dtype=float32)
 array([ 0.        ,  0.49999997, -0.86602545, -0.        ], dtype=float32)
 array([-0.        ,  0.86602545,  0.49999997,  0.92883897], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.99983484,  0.00908639, -0.01573809,  0.8466172 ], dtype=float32)
 array([ -0.01817278,  -0.49991742,   0.8658824 , -13.356763  ],
       dtype=float32)
 array([-0.        ,  0.86602545,  0.49999997, -2.1304939 ], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.3485119 , -0.44975492,  0.82235026, -0.9173827 ], dtype=float32)
 array([ 0.3925081 ,  0.7266944 ,  0.56378424, -0.2018749 ], dtype=float32)
 array([-0.8511621 ,  0.51926464, -0.0767292 ,  0.32902655], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([241.12979,   0.     , 336.30847], dtype=float32)
 array([  0.     , 276.8471 , 189.27817], dtype=float32)
 array([0., 0., 1.], dtype=float32)]"
7,"[array([168.0498,   0.    , 240.    ], dtype=float32)
 array([  0.     , 192.79999, 135.     ], dtype=float32)
 array([0., 0., 1.], dtype=float32)]","[array([1., 0., 0., 0.], dtype=float32)
 array([ 0.        ,  0.49999997, -0.86602545, -0.        ], dtype=float32)
 array([-0.        ,  0.86602545,  0.49999997,  0.92883897], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.99987847,  0.00779518, -0.01350165,  0.84732336], dtype=float32)
 array([ -0.01559036,  -0.4999392 ,   0.8659202 , -13.3979435 ],
       dtype=float32)
 array([-0.        ,  0.86602545,  0.49999997, -2.1304939 ], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.35078284, -0.4493768 ,  0.8215911 , -0.8911875 ], dtype=float32)
 array([ 0.39221647,  0.7261797 ,  0.56464964, -0.19820145], dtype=float32)
 array([-0.85036325,  0.52031094, -0.0784784 ,  0.3201472 ], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([241.12979,   0.     , 336.30847], dtype=float32)
 array([  0.     , 276.8471 , 189.27817], dtype=float32)
 array([0., 0., 1.], dtype=float32)]"
8,"[array([168.0498,   0.    , 240.    ], dtype=float32)
 array([  0.     , 192.79999, 135.     ], dtype=float32)
 array([0., 0., 1.], dtype=float32)]","[array([1., 0., 0., 0.], dtype=float32)
 array([ 0.        ,  0.49999997, -0.86602545, -0.        ], dtype=float32)
 array([-0.        ,  0.86602545,  0.49999997,  0.92883897], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.9999159 ,  0.00648544, -0.01123312,  0.8479183 ], dtype=float32)
 array([-1.2970886e-02, -4.9995792e-01,  8.6595255e-01, -1.3438834e+01],
       dtype=float32)
 array([-0.        ,  0.86602545,  0.49999997, -2.1304939 ], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.35305172, -0.44899586,  0.8208271 , -0.86465037], dtype=float32)
 array([ 0.3919224 ,  0.7256654 ,  0.56551445, -0.1944455 ], dtype=float32)
 array([-0.8495595 ,  0.5213564 , -0.08022586,  0.31107548], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([241.12979,   0.     , 336.30847], dtype=float32)
 array([  0.     , 276.8471 , 189.27817], dtype=float32)
 array([0., 0., 1.], dtype=float32)]"
9,"[array([168.0498,   0.    , 240.    ], dtype=float32)
 array([  0.     , 192.79999, 135.     ], dtype=float32)
 array([0., 0., 1.], dtype=float32)]","[array([1., 0., 0., 0.], dtype=float32)
 array([ 0.        ,  0.49999997, -0.86602545, -0.        ], dtype=float32)
 array([-0.        ,  0.86602545,  0.49999997,  0.92883897], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.99994683,  0.00515683, -0.00893189,  0.84840196], dtype=float32)
 array([-1.0313654e-02, -4.9997339e-01,  8.6597937e-01, -1.3479434e+01],
       dtype=float32)
 array([-0.        ,  0.86602545,  0.49999997, -2.1304939 ], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([-0.35531855, -0.4486121 ,  0.82005847, -0.8377226 ], dtype=float32)
 array([ 0.3916259,  0.7251513,  0.5663786, -0.1905953], dtype=float32)
 array([-0.84875077,  0.522401  , -0.08197158,  0.30178395], dtype=float32)
 array([0., 0., 0., 1.], dtype=float32)]","[array([241.12979,   0.     , 336.30847], dtype=float32)
 array([  0.     , 276.8471 , 189.27817], dtype=float32)
 array([0., 0., 1.], dtype=float32)]"
